league.year,league.name,entry.name,team.key
1927,American League,Washington,WS1
1927,National League,Boston,BSN
1927,National League,Brooklyn,BRO
1927,National League,Chicago,CHN
1927,National League,Cincinnati,CIN
1927,National League,New York,NY1
1927,National League,Philadelphia,PHI
1927,National League,Pittsburgh,PIT
1927,National League,St. Louis,SLN
1928,American League,Boston,BOS
1928,American League,Chicago,CHA
1928,American League,Cleveland,CLE
1928,American League,Detroit,DET
1928,American League,New York,NYA
1928,American League,Philadelphia,PHA
1928,American League,St. Louis,SLA
1928,American League,Washington,WS1
1928,National League,Boston,BSN
1928,National League,Brooklyn,BRO
1928,National League,Chicago,CHN
1928,National League,Cincinnati,CIN
1928,National League,New York,NY1
1928,National League,Philadelphia,PHI
1928,National League,Pittsburgh,PIT
1928,National League,St. Louis,SLN
1929,American League,Boston,BOS
1929,American League,Chicago,CHA
1929,American League,Cleveland,CLE
1929,American League,Detroit,DET
1929,American League,New York,NYA
1929,American League,Philadelphia,PHA
1929,American League,St. Louis,SLA
1929,American League,Washington,WS1
1929,National League,Boston,BSN
1929,National League,Brooklyn,BRO
1929,National League,Chicago,CHN
1929,National League,Cincinnati,CIN
1929,National League,New York,NY1
1929,National League,Philadelphia,PHI
1929,National League,Pittsburgh,PIT
1929,National League,St. Louis,SLN
1930,American League,Boston,BOS
1930,American League,Chicago,CHA
1930,American League,Cleveland,CLE
1930,American League,Detroit,DET
1930,American League,New York,NYA
1930,American League,Philadelphia,PHA
1930,American League,St. Louis,SLA
1930,American League,Washington,WS1
1930,National League,Boston,BSN
1930,National League,Brooklyn,BRO
1930,National League,Chicago,CHN
1930,National League,Cincinnati,CIN
1930,National League,New York,NY1
1930,National League,Philadelphia,PHI
1930,National League,Pittsburgh,PIT
1930,National League,St. Louis,SLN
1931,American League,Boston,BOS
1931,American League,Chicago,CHA
